62002,1,openAndCloseBrowser,3/08/2021 17:07:01 PM,0,Passed,3/08/2021 17:05:59 PM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4084,Passed,"",basic.init,
"Launch Browser: Chrome 88.0.4324.190",,3567,Passed,"",basic.step,
"Iteration Total (sec)",,53186,Passed,"",basic.iteration,
"Navigate https://www.mytoys.de/",,75,Passed,"",ft.action,
"WaitForPage https://www.mytoys.de/",,18410,Passed,"",web.pageComplete,
"Text Matching Test: myToys Online Shop | Einfach alles für Ihr Kind, myToys Online Shop | Einfach alles für Ihr Kind",,136,Passed,"",basic.test,
"Click textBox(""@index='0'"")",5,257,Passed,"",ft.action,
"Think: 1.289 (sec).",,1327,Passed,"",basic.comment,
"SetText textBox(""@index='0'"") trampoline",6,92,Passed,"",ft.action,
"Think: 2.324 (sec).",,2349,Passed,"",basic.comment,
"Click button(""@index='2'"")",7,237,Passed,"",ft.action,
"Think: 5.873 (sec).",,5905,Passed,"",basic.comment,
"SelectOptionByText selectBox(""@name='select'"") Höchster Preis",10,60,Passed,"",ft.action,
"Think: 5.873 (sec).",,5931,Passed,"",basic.comment,
"Info",,1,Passed,"Comments: Text displayedSuchergebnis für ""trampoline""",basic.comment,
"Text Matching Test: Suchergebnis für ""trampoline"", Suchergebnis für ""trampoline""",,54,Passed,"",basic.test,
"Info",,1,Passed,"Comments: Content:1594.99",basic.comment,
"Info",,0,Passed,"Comments: Content:1498.99",basic.comment,
"Info",,0,Passed,"Comments: Content:1048.99",basic.comment,
"Info",,0,Passed,"Comments: Content:1035.99",basic.comment,
"Info",,1,Passed,"Comments: Content:1035.99",basic.comment,
"Info",,0,Passed,"Comments: Content:949.99",basic.comment,
"Click element(""@text='1.049,00 €(UVP)949,99 €'"")",,805,Passed,"",ft.action,
"Think: 2.53 (sec).",,2554,Passed,"",basic.comment,
"Click button(""@text='In den Warenkorb'"")",15,1341,Passed,"",ft.action,
"Think: 7.168 (sec).",,7210,Passed,"",basic.comment,
"Info",,0,Passed,"Comments: sucess message: ",basic.comment,
"Info",,0,Passed,"Comments: sucess message: Der Artikel wurde Ihrem Warenkorb hinzugefügt.",basic.comment,
"Text Matching Test: Der Artikel wurde Ihrem Warenkorb hinzugefügt., Der Artikel wurde Ihrem Warenkorb hinzugefügt.",,24,Passed,"",basic.test,
"Text Matching Test: true, true",,26,Passed,"",basic.test,
"Click button(""@text='Overlay schließen'"")",,216,Passed,"",ft.action,
"Finish Total (sec)",,4533,Passed,"",basic.finish,
